CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,balance_log,salary_log,product_norm,tenure_norm,card_flag,active_flag,salary_balance_ratio,product_per_tenure,zero_balance_flag,high_balance_flag,Balance_Category,engagement_score,low_engagement_flag,activity_product_interaction,balance_activity_gap,tenure_engagement_ratio,is_dormant_high_value,product_intensity,Geography_Germany,Geography_Spain,Gender_Male,cluster_id,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,dist_to_cluster_3,dist_to_cluster_4,Engagement_Segment,is_active_power_core,is_active_casual,is_inactive_disengaged,is_inactive_high_balance,is_inactive_low_balance,customer_value_segment,Exited
531,53,5,127642.44,1,1,0,141501.45,11.756996030828136,11.860072310403169,0.25,0.5,1,0,1.1085681332311321,0.16666666666666666,0,1,High Balance,0.3174323051468894,0,0,127642.44,0.052905384191148236,1,Low,False,False,False,1,3.4742118093285534,1.2288401721146456,2.5872404407601013,2.4934949565368925,1.4599371100305005,Inactive_High_Balance,0,0,0,1,0,High Value,1
560,31,3,115141.18,1,1,0,39806.75,11.65392299152286,10.591816895934437,0.25,0.3,1,0,0.345718224198986,0.25,0,0,Medium Balance,0.29618360772892216,1,0,115141.18,0.07404590193223054,0,Low,False,False,False,1,2.4828824329481716,1.1517287543970034,2.7865814886560067,2.7933805385802137,2.1285574990828113,Inactive_High_Balance,0,0,0,1,0,High Value,0
733,31,9,102289.85,1,1,1,115441.66,11.535575505124221,11.656529235455325,0.25,0.9,1,1,1.1285629164289865,0.1,0,0,Medium Balance,0.7547498651936778,0,1,0.0,0.07547498651936778,0,Low,False,True,False,4,3.742047487925588,2.708756273375987,3.2384303721169068,2.397003623920853,1.1283142536537127,Active_Casual,0,1,0,0,0,High Value,0
674,27,4,111568.01,1,0,1,22026.18,11.622398602194805,10.000032424339937,0.25,0.4,0,1,0.19742202606261364,0.2,0,0,Medium Balance,0.6558016996778717,0,1,0.0,0.13116033993557435,0,Low,True,False,False,1,1.9935731751512802,1.8008919452428709,3.1028674446544646,2.5084816016940206,1.9539582360303585,Inactive_High_Balance,0,0,0,1,0,High Value,0
644,37,9,0.0,2,1,1,96442.86,0.0,11.476716356380072,0.5,0.9,1,1,96442.86,0.2,1,0,Zero Balance,0.6900000000000001,0,2,0.0,0.069,0,Medium,False,True,True,2,3.5866467951031233,3.6348015069118538,1.893437116075894,2.4231055073547156,2.787030612550956,Inactive_Disengaged,0,0,1,0,0,Low Value,0
695,32,9,0.0,3,0,1,38533.79,0.0,10.559316748605964,0.75,0.9,0,1,38533.79,0.3,1,0,Zero Balance,0.715,0,3,0.0,0.0715,0,High,False,True,True,2,3.829767351845198,4.749495798214247,2.970956340641303,2.975893020725972,4.187735410822871,Inactive_Disengaged,0,0,1,0,0,Low Value,0
750,42,8,151836.36,2,1,0,68695.38,11.930565226969737,11.137451783954583,0.5,0.8,1,0,0.45242738677753624,0.2222222222222222,0,1,High Balance,0.42453504130875575,0,0,151836.36,0.0471705601454173,1,Medium,True,False,True,3,2.9476057722806637,2.530106801102843,2.405408922089611,1.36337297374974,1.837915709275738,Active_Power_Core,1,0,0,0,0,Platinum Value,0
754,35,6,98585.94,2,0,1,106116.84,11.498694077456818,11.572305453728655,0.5,0.6,0,1,1.0763782707932714,0.2857142857142857,0,0,Medium Balance,0.7493030583098443,0,2,0.0,0.10704329404426348,0,Medium,True,False,True,3,3.377058177634114,2.4424474677914585,2.6144823318154304,0.6492110260502921,2.0491210986064874,Active_Power_Core,1,0,0,0,0,Platinum Value,0
744,34,3,0.0,2,1,0,27244.35,0.0,10.212638143328519,0.5,0.3,1,0,27244.35,0.5,1,0,Zero Balance,0.23,1,0,0.0,0.0575,0,Medium,False,True,True,2,2.460821214472383,3.0576575121326313,1.7124172584723567,3.1788383381814476,3.6300526654695715,Inactive_Disengaged,0,0,1,0,0,Low Value,0
588,22,9,67178.19,1,1,1,163534.75,11.115118805933726,12.004786899852299,0.25,0.9,1,1,2.4343066655016234,0.1,0,0,Medium Balance,0.7496561646665086,0,1,0.0,0.07496561646665087,0,Low,False,True,False,4,4.000827733588806,2.7521032187024073,3.2230165805144693,2.447661344077404,1.2346461302444343,Active_Casual,0,1,0,0,0,High Value,1
696,44,8,161889.79,1,0,0,75562.47,11.994677251080338,11.232728244330172,0.25,0.8,0,0,0.4667496526516425,0.1111111111111111,0,1,High Balance,0.3003117382947683,0,0,161889.79,0.03336797092164093,1,Low,False,False,True,4,3.1468594319915644,2.107207154272597,2.803372893878453,2.6612108393326115,1.171578037748698,Active_Casual,0,1,0,0,0,Platinum Value,0
774,52,2,56580.93,1,1,0,113266.28,10.943444955267076,11.63750561448717,0.25,0.2,1,0,2.001810118530775,0.3333333333333333,0,0,Medium Balance,0.2775763900183095,1,0,56580.93,0.09252546333943651,0,Low,False,False,False,1,3.422592681217541,0.8976373367021957,2.698851466287282,2.843155987809196,2.307758498269276,Inactive_High_Balance,0,0,0,1,0,High Value,1
704,31,0,0.0,2,1,0,183038.33,0.0,12.117456326764772,0.5,0.0,1,0,183038.33,2.0,1,0,Zero Balance,0.2,1,0,0.0,0.2,0,Medium,False,False,True,2,4.2617167992114275,3.050526556661143,2.1641457619363194,3.5179009629120297,4.12405501568521,Inactive_Disengaged,0,0,1,0,0,Low Value,0
723,48,7,0.0,2,1,1,150694.58,0.0,11.923017054390167,0.5,0.7,1,1,150694.58,0.25,1,0,Zero Balance,0.67,0,2,0.0,0.08375,0,Medium,False,False,True,2,3.721461369607716,3.2514509015693767,1.4784849247379124,2.2010737416894544,2.776573782378647,Inactive_Disengaged,0,0,1,0,0,Low Value,0
536,46,1,65733.41,1,1,0,61094.53,11.093377811658767,11.020193983727317,0.25,0.1,1,0,0.929414746401466,0.5,0,0,Medium Balance,0.26939277936616085,1,0,65733.41,0.13469638968308043,0,Low,False,False,True,1,3.0601974812856683,1.0797879178468048,2.9021847536419494,3.05096284704228,2.6402008748572925,Inactive_High_Balance,0,0,0,1,0,High Value,0
691,35,6,0.0,2,0,1,178038.17,0.0,12.089758861245189,0.5,0.6,0,1,178038.17,0.2857142857142857,1,0,Zero Balance,0.6100000000000001,0,2,0.0,0.08714285714285716,0,Medium,False,True,True,2,3.757750600142949,3.049098107959422,1.2053457617579706,2.181849752415253,2.813630559190841,Inactive_Disengaged,0,0,1,0,0,Low Value,0
611,40,7,128486.91,2,1,0,10109.47,11.76359009328797,9.221326799559078,0.5,0.7,1,0,0.07868032097338963,0.25,0,1,High Balance,0.4125121901374069,0,0,128486.91,0.051564023767175865,1,Medium,True,False,False,0,1.5491913191804738,3.158208164159783,3.1571833278368464,2.5369686815182266,2.8713132323002313,Inactive_Low_Balance,0,0,0,0,1,Medium Value,0
691,30,7,101231.77,2,0,0,156529.44,11.525177797648238,11.961005774841073,0.5,0.7,0,0,1.5462329046216952,0.25,0,0,Medium Balance,0.359623900241392,0,0,101231.77,0.044952987530174,0,Medium,True,False,True,3,3.5861324517939717,2.361992369720077,2.272433813354662,1.4859345682844538,2.012965617837568,Active_Power_Core,1,0,0,0,0,Platinum Value,0
659,34,9,134464.58,2,1,0,178833.34,11.80906353449261,12.094215181446291,0.5,0.9,1,0,1.3299562609256586,0.2,0,1,High Balance,0.4330630865599927,0,0,134464.58,0.04330630865599927,1,Medium,True,False,True,3,3.8868376266989575,2.873694762947779,2.6205437887575815,1.679053289213504,1.9873044328221117,Active_Power_Core,1,0,0,0,0,Platinum Value,0
711,29,9,0.0,2,0,1,3234.8,0.0,8.082031471571236,0.5,0.9,0,1,3234.8,0.2,1,0,Zero Balance,0.64,0,2,0.0,0.064,0,Medium,False,False,False,0,2.2900431208877943,4.8986895468678995,3.804094794185396,4.162462807062978,4.328955169974879,Inactive_Low_Balance,0,0,0,0,1,Medium Value,0
559,24,3,114739.92,1,1,0,85891.02,11.650431996251658,11.360846204937552,0.25,0.3,1,0,0.7485648537592343,0.25,0,0,Medium Balance,0.29614131542037414,1,0,114739.92,0.07403532885509354,0,Low,False,True,True,1,3.108706255339187,0.8051442385154889,2.65384921637942,2.6569490967974416,1.9630707286106206,Inactive_High_Balance,0,0,0,1,0,High Value,1
716,44,3,109528.28,1,1,0,27341.63,11.603947189754692,10.216202301701141,0.25,0.3,1,0,0.2496285011642549,0.25,0,0,Medium Balance,0.2955781666257067,1,0,109528.28,0.07389454165642667,0,Low,False,False,False,1,2.2091967363707483,1.4485042790717277,2.918753587048804,2.9345047408076037,2.302961632113959,Inactive_High_Balance,0,0,0,1,0,High Value,1
583,48,3,91246.53,1,1,0,60017.46,11.421331202585229,11.002407460551222,0.25,0.3,1,0,0.6577433931636286,0.25,0,0,Medium Balance,0.2933658314389789,1,0,91246.53,0.07334145785974472,0,Low,False,False,True,1,2.7991164884638278,0.9138672812273869,2.6600707174669833,2.7014531476660664,2.011904586618218,Inactive_High_Balance,0,0,0,1,0,High Value,1
593,41,6,0.0,1,1,0,65170.66,0.0,11.084779990844897,0.25,0.6,1,0,65170.66,0.14285714285714285,1,0,Zero Balance,0.185,1,0,0.0,0.02642857142857143,0,Low,False,False,False,2,3.1396236046928565,2.7592964975566687,1.8235414769021367,3.5548780668615647,2.7088182347881022,Inactive_Disengaged,0,0,1,0,0,Low Value,0
824,60,8,134250.17,3,0,0,153046.16,11.807467727416935,11.938501388173952,0.75,0.8,0,0,1.1399987054116547,0.3333333333333333,0,1,High Balance,0.4480437538597211,0,0,134250.17,0.04978263931774679,1,High,True,False,True,3,4.355895115745345,3.8638087314283602,3.166058475979304,1.9721551765437586,3.5121959988106357,Active_Power_Core,1,0,0,0,0,Platinum Value,1
567,48,3,0.0,1,1,0,55362.45,0.0,10.921674907713943,0.25,0.3,1,0,55362.45,0.25,1,0,Zero Balance,0.155,1,0,0.0,0.03875,0,Low,False,False,False,2,3.1188875149903064,2.563220537398429,2.046301524665347,3.752913860439055,3.1883395339415554,Inactive_Disengaged,0,0,1,0,0,Low Value,0
552,33,5,140931.57,1,0,1,10921.5,11.856036828022972,9.29858016082559,0.25,0.5,0,1,0.07749450677015256,0.16666666666666666,0,1,High Balance,0.6686321532212665,0,1,0.0,0.11143869220354441,0,Low,False,False,True,0,1.6665065231013958,2.527438518117806,3.514875062399266,2.9411111716160665,2.379789774397592,Inactive_Low_Balance,0,0,0,0,1,Medium Value,0
564,27,6,0.0,1,0,0,7819.76,0.0,8.964537015517802,0.25,0.6,0,0,7819.76,0.14285714285714285,1,0,Zero Balance,0.135,1,0,0.0,0.019285714285714288,0,Low,False,False,False,0,2.2346240740418337,3.7723082748664534,3.1581913613357857,4.451310077782943,3.7607011085899487,Inactive_Low_Balance,0,0,0,0,1,Medium Value,0
756,42,9,0.0,2,1,0,35673.42,0.0,10.482189184329204,0.5,0.9,1,0,35673.42,0.2,1,0,Zero Balance,0.29000000000000004,1,0,0.0,0.029000000000000005,0,Medium,False,False,False,2,2.842092805634255,3.6751415164152834,1.8114857089265914,3.0472290568649,3.0970540844514725,Inactive_Disengaged,0,0,1,0,0,Low Value,0
733,32,5,0.0,2,1,0,131625.14,0.0,11.787720910367431,0.5,0.5,1,0,131625.14,0.3333333333333333,1,0,Zero Balance,0.25,1,0,0.0,0.041666666666666664,0,Medium,False,True,False,2,3.5650082456438046,2.94016574622197,0.9373151228282885,2.75943994277557,3.1453982536940335,Inactive_Disengaged,0,0,1,0,0,Low Value,0
772,47,9,152347.01,1,0,1,17671.78,11.933922722300322,9.779780881744749,0.25,0.9,0,1,0.11599613280147208,0.1,0,1,High Balance,0.7095757163075566,0,1,0.0,0.07095757163075565,0,Low,False,False,True,4,2.4624370534162194,3.071896214590433,3.5925963709317044,2.8892883432012644,1.883566549565051,Active_Casual,0,1,0,0,0,Platinum Value,0
628,51,10,115280.49,2,0,0,12628.61,11.655132155641923,9.443799336007917,0.5,1.0,0,0,0.10954586031113928,0.18181818181818182,0,0,Medium Balance,0.3911982563715115,0,0,115280.49,0.03556347785195559,0,Medium,True,False,False,0,2.3120244808534016,3.6746454866697666,3.3799827076414353,2.8032602757027405,2.8454856766537815,Inactive_Low_Balance,0,0,0,0,1,Medium Value,1
579,45,2,0.0,2,0,0,11514.39,0.0,9.351439680547944,0.5,0.2,0,0,11514.39,0.6666666666666666,1,0,Zero Balance,0.16999999999999998,1,0,0.0,0.056666666666666664,0,Medium,False,False,False,0,2.344744348172304,3.581974448646369,2.6477673869743428,3.855485978107704,4.2590272564212235,Inactive_Low_Balance,0,0,0,0,1,Medium Value,0
676,34,1,63095.01,1,1,1,40645.81,11.052412813566466,10.612675637111902,0.25,0.1,1,1,0.6441898624017588,0.5,0,0,Medium Balance,0.6688965013123686,0,1,0.0,0.3344482506561843,0,Low,False,False,False,1,2.7421242894541833,1.3672384142703222,3.1255178750993817,2.64877469929788,2.47876958708483,Inactive_High_Balance,0,0,0,1,0,High Value,0
411,29,0,59697.17,2,1,1,53483.21,10.997056645644541,10.887141749134745,0.5,0.0,1,1,0.8958936262200332,2.0,0,0,Medium Balance,0.7332258787672435,0,2,0.0,0.7332258787672435,0,Medium,False,False,True,3,3.1916510922689243,2.249490652209238,3.0762477617596127,2.048178063707709,3.295670526822998,Active_Power_Core,1,0,0,0,0,Platinum Value,0
547,49,8,121537.71,2,1,0,46521.45,11.70798809184332,10.747690270766027,0.5,0.8,1,0,0.3827706415511568,0.2222222222222222,0,0,Medium Balance,0.4218385893965565,0,0,121537.71,0.04687095437739516,0,Medium,True,False,True,3,2.622028212157443,2.6023531562413122,2.4514417606115777,1.511039662242185,1.937961217497738,Active_Power_Core,1,0,0,0,0,Platinum Value,1
727,31,3,82729.47,2,1,0,60212.51,11.323343253299482,11.005652024723476,0.5,0.3,1,0,0.727815398607067,0.5,0,0,Medium Balance,0.3671787382855245,0,0,82729.47,0.09179468457138112,0,Medium,True,False,False,3,2.692193010158881,1.6905413268887888,2.2253913822926745,1.584368327925582,2.511443068979297,Active_Power_Core,1,0,0,0,0,Platinum Value,0
722,40,6,89175.06,2,0,1,152883.95,11.398367896896003,11.937440956725938,0.5,0.6,0,1,1.7144057497045733,0.2857142857142857,0,0,Medium Balance,0.7480876382207,0,2,0.0,0.10686966260295715,0,Medium,True,False,False,3,3.6876139299453983,2.4910674842445077,2.6419700892920024,0.7995796405217226,2.107747741365394,Active_Power_Core,1,0,0,0,0,Platinum Value,0
500,50,5,0.0,4,1,1,83866.35,0.0,11.336991662960855,1.0,0.5,1,1,83866.35,0.6666666666666666,1,0,Zero Balance,0.8,0,4,0.0,0.13333333333333333,0,High,False,True,False,3,5.3702720985160575,5.722181772587344,4.1843781554977255,3.8832075197888605,5.738307269028321,Active_Power_Core,1,0,0,0,0,Platinum Value,1
687,34,9,125474.44,1,1,0,198929.84,11.739865321191623,12.20071250561297,0.25,0.9,1,0,1.5854085867321923,0.1,0,0,Medium Balance,0.35722477199335834,0,0,125474.44,0.035722477199335835,0,Low,False,False,False,4,4.024097332530772,2.487484321173235,2.968317448623599,2.7504538937550826,1.2836560481567514,Active_Casual,0,1,0,0,0,High Value,0
751,48,4,0.0,1,0,1,30165.06,0.0,10.314472730320452,0.25,0.4,0,1,30165.06,0.2,1,0,Zero Balance,0.515,0,1,0.0,0.10300000000000001,0,Low,False,False,False,2,2.2082657451706806,2.4291069211352703,1.8677445053674246,3.1600679437691075,2.620182468549339,Inactive_Disengaged,0,0,1,0,0,Low Value,1
564,33,4,135946.26,1,1,0,63170.0,11.820022295388958,11.05360061406664,0.25,0.4,1,0,0.4646654886608233,0.2,0,1,High Balance,0.3081958484978149,0,0,135946.26,0.06163916969956298,1,Low,False,False,False,1,2.7879534407567617,0.9878411775071354,2.62350553952274,2.5636021917646246,1.6984079546271489,Inactive_High_Balance,0,0,0,1,0,High Value,0
545,53,5,114421.55,1,1,0,180598.28,11.647653453887765,12.104035933246111,0.25,0.5,1,0,1.5783451775895572,0.16666666666666666,0,0,Medium Balance,0.3161076542544777,0,0,114421.55,0.05268460904241295,0,Low,True,False,True,1,3.694989157228174,1.3415763995442984,2.6244814524008437,2.5488148128816976,1.5572978844797385,Inactive_High_Balance,0,0,0,1,0,High Value,1
561,34,4,85141.79,2,1,1,29217.37,11.352085008401259,10.282552900038933,0.5,0.4,1,1,0.34315730081196544,0.4,0,0,Medium Balance,0.7775269355990544,0,2,0.0,0.15550538711981088,0,Medium,False,True,True,3,2.425434350126281,2.5170859945347455,2.9172300761573124,1.478919162914386,2.6385763421707287,Active_Power_Core,1,0,0,0,0,Platinum Value,0
571,37,9,139592.98,3,1,0,104152.65,11.846493345171409,11.553622491682333,0.75,0.9,1,0,0.7461113294427165,0.3,0,1,High Balance,0.5085165369313472,0,0,139592.98,0.05085165369313473,1,High,True,False,True,3,4.1858259352317555,4.024465917814635,3.284896433153074,1.9952674732663103,3.4812569061074834,Active_Power_Core,1,0,0,0,0,Platinum Value,1
844,18,2,160980.03,1,0,0,145936.28,11.989041810937605,11.89093221934957,0.25,0.2,0,0,0.9065433361930906,0.3333333333333333,0,1,High Balance,0.24024346671179408,1,0,160980.03,0.08008115557059803,1,Low,False,False,True,1,3.7340796842187487,1.142810778098334,2.911845986409914,2.9741896781663977,2.4459379247829776,Inactive_High_Balance,0,0,0,1,0,High Value,0
642,36,6,0.0,2,1,1,97938.59,0.0,11.492106139011074,0.5,0.6,1,1,97938.59,0.2857142857142857,1,0,Zero Balance,0.6600000000000001,0,2,0.0,0.0942857142857143,0,Medium,False,True,False,2,3.280560035933166,3.0374507994054203,1.222913128732443,2.088382121044097,2.766500717440197,Inactive_Disengaged,0,0,1,0,0,Low Value,0
523,32,4,0.0,2,1,0,167848.02,0.0,12.030820163844815,0.5,0.4,1,0,167848.02,0.4,1,0,Zero Balance,0.24000000000000002,1,0,0.0,0.048,0,Medium,False,True,True,2,3.801348073374791,2.9093983924612163,1.147974294889689,2.8704348522659053,3.3172904672858285,Inactive_Disengaged,0,0,1,0,0,Low Value,0
575,46,1,0.0,2,1,1,65998.26,0.0,11.097398808824494,0.5,0.1,1,1,65998.26,1.0,1,0,Zero Balance,0.6100000000000001,0,2,0.0,0.30500000000000005,0,Medium,False,False,True,2,3.149469514715742,2.7436705603316067,1.7262202383916403,2.6124368671046065,3.522409985212334,Inactive_Disengaged,0,0,1,0,0,Low Value,0
729,36,8,109106.8,1,0,0,121311.12,11.600091663307747,11.706122007500484,0.25,0.8,0,0,1.1118464491081297,0.1111111111111111,0,0,Medium Balance,0.2955314581367396,1,0,109106.8,0.032836828681859956,0,Low,False,False,False,4,3.5271228435359316,2.1268637927951803,2.7601901541421223,2.675990066411386,1.2122968342021863,Active_Casual,0,1,0,0,0,High Value,0
597,60,0,131778.08,1,0,0,10703.53,11.788882163110918,9.278422295342521,0.25,0.0,0,0,0.08122328673109572,1.0,0,1,High Balance,0.21781859559993944,1,0,131778.08,0.21781859559993944,1,Low,False,False,False,0,2.4740274140312053,2.557039466200538,3.868443810517094,3.99637054251813,3.7147641796025215,Inactive_Low_Balance,0,0,0,0,1,Medium Value,1
787,39,10,108935.39,1,1,1,101168.3,11.598519412881721,11.524550630128852,0.25,1.0,1,1,0.9286915051985842,0.09090909090909091,0,0,Medium Balance,0.7655124108178616,0,1,0.0,0.06959203734707832,0,Low,False,True,True,4,3.80920267241891,3.0237160819928866,3.4227555746397904,2.5944194051691336,1.3363246005979388,Active_Casual,0,1,0,0,0,High Value,0
646,46,4,0.0,3,1,0,93251.42,0.0,11.44306528891195,0.75,0.4,1,0,93251.42,0.6,1,0,Zero Balance,0.31499999999999995,0,0,0.0,0.06299999999999999,0,High,False,False,False,2,4.0030454868311836,3.9787829459639936,2.154833037236677,2.972647195433607,4.313153259732029,Inactive_Disengaged,0,0,1,0,0,Low Value,1
544,21,10,161525.96,2,1,0,9262.77,11.992427342697274,9.133866372216145,0.5,1.0,1,0,0.05734504010971296,0.18181818181818182,0,1,High Balance,0.44528448136310583,0,0,161525.96,0.04048040739664598,1,Medium,False,False,False,0,2.229370214314112,3.840767470530796,3.609109398131216,2.9534856415864987,3.0236119626831246,Inactive_Low_Balance,0,0,0,0,1,Medium Value,0
738,35,5,161274.05,2,1,0,181429.87,11.990866571429848,12.108629978590544,0.5,0.5,1,0,1.124971717571937,0.3333333333333333,0,1,High Balance,0.39526557311061983,0,0,161274.05,0.06587759551843664,1,Medium,False,False,True,3,3.6437564959872475,1.9735621755814967,2.273731979457575,1.3193575105221163,2.1776861539122088,Active_Power_Core,1,0,0,0,0,Platinum Value,0
581,54,4,89299.81,1,0,0,5558.47,11.399765837372165,8.623258058960024,0.25,0.4,0,0,0.062244340224909496,0.2,0,0,Medium Balance,0.253104573829418,1,0,89299.81,0.050620914765883596,0,Low,False,False,True,0,1.6319238184826277,3.026023138198136,3.846454432737644,3.9215280552668648,3.3567615050928103,Inactive_Low_Balance,0,0,0,0,1,Medium Value,1
673,65,0,0.0,1,1,1,85733.33,0.0,11.359008607804322,0.25,0.0,1,1,85733.33,1.0,1,0,Zero Balance,0.525,0,1,0.0,0.525,0,Low,False,False,True,1,3.4685376146631293,2.2404133022206403,2.272007381990327,3.4552742224776773,3.310054499790196,Inactive_High_Balance,0,0,0,1,0,High Value,0
667,38,6,144432.04,1,1,1,73963.17,11.880571288132373,11.211336065739681,0.25,0.6,1,1,0.5120931471081686,0.14285714285714285,0,1,High Balance,0.7289293804806576,0,1,0.0,0.10413276864009394,0,Low,False,False,False,4,3.0734213523605947,1.8156156357089581,2.93733670364796,2.046482234724042,1.0448406794052731,Active_Casual,0,1,0,0,0,Platinum Value,1
721,40,7,0.0,2,1,1,122580.48,0.0,11.716531230714592,0.5,0.7,1,1,122580.48,0.25,1,0,Zero Balance,0.67,0,2,0.0,0.08375,0,Medium,False,False,False,2,3.5434527339364674,3.2250086294207567,1.4232864107306018,2.1658975529649953,2.7455131830779025,Inactive_Disengaged,0,0,1,0,0,Low Value,0
548,33,6,0.0,1,1,1,31728.35,0.0,10.364997399022315,0.25,0.6,1,1,31728.35,0.14285714285714285,1,0,Zero Balance,0.585,0,1,0.0,0.08357142857142856,0,Low,False,True,True,2,2.3154910668987516,2.7113571536819405,1.9374030988406623,3.066277990585842,2.3545484835573802,Inactive_Disengaged,0,0,1,0,0,Low Value,0
501,29,8,0.0,2,1,0,112664.24,0.0,11.63217622299498,0.5,0.8,1,0,112664.24,0.2222222222222222,1,0,Zero Balance,0.28,1,0,0.0,0.031111111111111114,0,Medium,False,False,False,2,3.564187813945708,3.3591646877035903,1.2764816036235749,2.79111447120258,2.942974769067744,Inactive_Disengaged,0,0,1,0,0,Low Value,0
490,39,1,0.0,3,1,0,171060.01,0.0,12.049775555478385,0.75,0.1,1,0,171060.01,1.5,1,0,Zero Balance,0.285,1,0,0.0,0.1425,0,High,False,False,True,2,4.6491531250211,4.04032696805314,2.6459769252781853,3.4285887373568253,4.792624044145104,Inactive_Disengaged,0,0,1,0,0,Low Value,1
706,44,2,185932.18,2,1,0,65413.41,12.133142640838736,11.08849784956623,0.5,0.2,1,0,0.35181138729515626,0.6666666666666666,0,1,High Balance,0.3669892028949637,0,0,185932.18,0.12232973429832122,1,Medium,True,False,False,1,2.906216383466662,1.6627071215343074,2.4695404072977145,1.7780244523723918,2.7345047994028358,Inactive_High_Balance,0,0,0,1,0,High Value,0
